NAME,YEAR,MONTH,AVRG ELEVATION,MIN ELEVATION,MAX ELEVATION,PRECIPITATION RATE,SOIL MOISTURE,WIND SPEED,SURFACE TEMPERATURE,DEEP SOIL TEMPERATURE
0.0625,2025,1,0.066565809,0.041860465,0.404085258,0.5986731385,0.7200398247600003,0.6575622044899997,0.41627280601000016,0.4946991441399998
0.0625,2025,2,0.066565809,0.041860465,0.404085258,0.37164926027000006,0.6745555605499995,0.6923999162699999,0.5493987881699998,0.48327620582000014
0.0625,2025,3,0.066565809,0.041860465,0.404085258,0.32390385155000007,0.7350511805999997,0.6603905875300004,0.6047043102800003,0.6511020915799999
0.0625,2025,4,0.066565809,0.041860465,0.404085258,0.32752392704999983,0.7548545664399995,0.38731316587,0.5971386552100002,0.7202326221400002
0.0625,2025,5,0.066565809,0.041860465,0.404085258,0.30214748912000006,0.8325204545800001,0.15343416171,0.4913140268400004,0.6001011113700002
0.0625,2025,6,0.066565809,0.041860465,0.404085258,0.11384532855000001,0.8271763915700006,0.15423112067,0.4469272141200003,0.5230517342200001
0.0625,2025,7,0.066565809,0.041860465,0.404085258,0.32068760006000013,0.6412261665300001,0.16896494204000004,0.4481764473100002,0.50777411862
0.0625,2025,8,0.066565809,0.041860465,0.404085258,0.24521616845000008,0.6385922251899998,0.12244590464000003,0.45059406847999994,0.5102940820099998
0.0625,2025,9,0.066565809,0.041860465,0.404085258,0.24725998466000007,0.6351426877499997,0.09342975448999997,0.4442744530400002,0.5058861561199999
0.0625,2025,10,0.066565809,0.041860465,0.404085258,0.27685698462,0.6570932049299998,0.1478592997,0.4206777709399999,0.49545175182000023
0.0625,2025,11,0.066565809,0.041860465,0.404085258,0.5160644508699999,0.8428698666900002,0.38680421242,0.39414990794,0.46161701039999975
0.0625,2025,12,0.066565809,0.041860465,0.404085258,0.43695098206,0.8053046600100007,0.48741673303,0.3690050675399999,0.4336167681800001
0.0625,2026,1,0.066565809,0.041860465,0.404085258,0.43443149197999986,0.80570186435,0.18673461730999996,0.36546696029000003,0.41181020148999986
0.0625,2026,2,0.066565809,0.041860465,0.404085258,0.27391338024000006,0.78524439213,0.20483277817,0.5231884228300003,0.4307313500999995
0.0625,2026,3,0.066565809,0.041860465,0.404085258,0.20332487685000003,0.7595024520900003,0.16258994334999996,0.6079932432200001,0.6180618122799997
0.0625,2026,4,0.066565809,0.041860465,0.404085258,0.2816656278699998,0.7383339299400002,0.15198215539999996,0.5871438655900001,0.6925614873699999
0.0625,2026,5,0.066565809,0.041860465,0.404085258,0.13742669115,0.84804034959,0.15267743192000002,0.4920930642300002,0.6032958112700002
0.0625,2026,6,0.066565809,0.041860465,0.404085258,0.09605519115999993,0.6941401791500001,0.17069262295999998,0.44590765843999997,0.5215841878600002
0.0625,2026,7,0.066565809,0.041860465,0.404085258,0.4623990335700001,0.62511923203,0.14842813608000005,0.4513398267000002,0.50713870321
0.0625,2026,8,0.066565809,0.041860465,0.404085258,0.43917049072,0.7127706198700001,0.07822851259000002,0.4447772557400001,0.5063119692299999
0.0625,2026,9,0.066565809,0.041860465,0.404085258,0.45766419241999984,0.7123393382599998,0.08999911765999996,0.4573895943199999,0.49933451552000013
0.0625,2026,10,0.066565809,0.041860465,0.404085258,0.5300228327999998,0.6775568221599998,0.3724696338,0.4574917852200002,0.4938015882100003
0.0625,2026,11,0.066565809,0.041860465,0.404085258,0.4893957267899999,0.8360742933800002,0.49029580873999995,0.41949795360000025,0.4779363592699999
0.0625,2026,12,0.066565809,0.041860465,0.404085258,0.3832734329599999,0.8182145719500004,0.49422470628999987,0.3904864992000001,0.4477111167699998
