YEAR,MONTH,NAME,PRECIPITATION RATE,SOIL MOISTURE,WIND SPEED,SURFACE TEMPERATURE,DEEP SOIL TEMPERATURE,AVRG ELEVATION,MIN ELEVATION,MAX ELEVATION
2014,1,0.0625,0.005051206,0.34676042,0.169815112,0.311144353,0.298135278,0.066565809,0.041860465,0.404085258
2014,1,0.125,0.00666559,0.346576347,0.198304872,0.130411033,0.088334747,0.836611195,0.11627907,1
2014,1,0.1875,0.004513105,0.34676042,0.151985862,0.389619557,0.373230827,0.494704992,0.241860465,0.793960924
2014,1,0.25,0.004513105,0.34676042,0.233162065,0.106115486,0.054377637,1,1,0.818827709
2014,1,0.3125,0.004513105,0.533366456,0.142347461,0.367903994,0.391745878,0.089258699,0.037209302,0.246891652
2014,1,0.375,0.005051288,0.440063377,0.179104947,0.273511887,0.272538027,0.092284418,0.03255814,0.646536412
2014,1,0.4375,0.004513105,0.34676042,0.183450439,0.316632071,0.332466874,0.010590015,0.03255814,0
2014,1,0.5,0.005051206,0.34676042,0.169815112,0.311144353,0.323666443,0.314674735,0.097674419,0.714920071
2014,1,0.5625,0.005051206,0.533366456,0.152855746,0.404082593,0.439184501,0.015128593,0.046511628,0.028419183
2014,1,0.625,0.004513105,0.533366456,0.142057427,0.409461061,0.441805906,0.013615734,0,0.077264654
2014,1,0.6875,0.004513105,0.533366456,0.151985862,0.351272764,0.373230827,0.163388805,0.065116279,0.41651865
2014,1,0.75,0.004513105,0.533366456,0.132709279,0.384535225,0.410260929,0.090771558,0.051162791,0.235346359
2014,1,0.8125,0.005320462,0.34676042,0.210609273,0.161034683,0.129616372,0.034795764,0.097674419,0.11722913
2014,1,0.875,0.004782113,0.34676042,0.205085953,0.294395469,0.300470311,0.048411498,0.041860465,0.285968028
2014,1,0.9375,0.005051206,0.34676042,0.169815112,0.311144353,0.323666443,0.298033283,0.106976744,0.737122558
2014,1,1,0.005589307,0.533366456,0.163654066,0.398687318,0.436585124,0,0.055813953,0.001776199
2014,2,0.0625,0.040340213,0.184105112,0.103365141,0.461506139,0.408278354,0.066565809,0.041860465,0.404085258
2014,2,0.125,0.035358425,0.184194422,0.096484469,0.279671913,0.169069621,0.836611195,0.11627907,1
2014,2,0.1875,0.035965973,0.184105112,0.103360118,0.473658114,0.455970305,0.494704992,0.241860465,0.793960924
2014,2,0.25,0.035965973,0.184105112,0.090069862,0.263965107,0.14030025,1,1,0.818827709
2014,2,0.3125,0.035965973,0.355401077,0.113321749,0.516139605,0.476346774,0.089258699,0.037209302,0.246891652
2014,2,0.375,0.038031861,0.269753095,0.103575678,0.426663753,0.357171966,0.092284418,0.03255814,0.646536412
2014,2,0.4375,0.037424053,0.184105112,0.100891113,0.474179153,0.417651529,0.010590015,0.03255814,0
2014,2,0.5,0.040340213,0.184105112,0.103365141,0.461506139,0.404885947,0.314674735,0.097674419,0.714920071
2014,2,0.5625,0.035479946,0.355401077,0.108812458,0.560822906,0.529226465,0.015128593,0.046511628,0.028419183
2014,2,0.625,0.034021866,0.355401077,0.118435352,0.564671871,0.534094789,0.013615734,0,0.077264654
2014,2,0.6875,0.035965973,0.355401077,0.103360118,0.501029472,0.455970305,0.163388805,0.065116279,0.41651865
2014,2,0.75,0.035965973,0.355401077,0.123283381,0.531241334,0.496712229,0.090771558,0.051162791,0.235346359
2014,2,0.8125,0.040340734,0.184105112,0.096083706,0.31484205,0.211551806,0.034795764,0.097674419,0.11722913
2014,2,0.875,0.029891797,0.184105112,0.107541374,0.454304035,0.388430571,0.048411498,0.041860465,0.285968028
2014,2,0.9375,0.040340213,0.184105112,0.103365141,0.461506139,0.404885947,0.298033283,0.106976744,0.737122558
2014,2,1,0.036938026,0.355401077,0.099189345,0.55697394,0.524369156,0,0.055813953,0.001776199
2014,3,0.0625,0.040027767,0.130063196,0.063308078,0.61913726,0.518421429,0.066565809,0.041860465,0.404085258
2014,3,0.125,0.038279373,0.129663179,0.087639077,0.43164724,0.31949202,0.836611195,0.11627907,1
2014,3,0.1875,0.042180171,0.130063196,0.048144173,0.641735228,0.611073785,0.494704992,0.241860465,0.793960924
2014,3,0.25,0.028189546,0.130063196,0.098811951,0.415268125,0.295987488,1,1,0.818827709
2014,3,0.3125,0.040027767,0.28829396,0.047992386,0.675930517,0.631064753,0.089258699,0.037209302,0.246891652
2014,3,0.375,0.035723249,0.209178578,0.067529082,0.582546873,0.511812845,0.092284418,0.03255814,0.646536412
2014,3,0.4375,0.03572296,0.130063196,0.063241029,0.629238695,0.572920223,0.010590015,0.03255814,0
